count,word
167313,num
22777,new
21579,said
20488,reuters
17312,ap
14082,us
13991,gt
13935,lt
10898,two
10459,first
10380,year
10191,quot
9157,world
8951,u
8642,one
8140,company
8126,monday
7995,oil
7983,wednesday
7959,tuesday
7812,thursday
7302,inc
7289,friday
6957,last
6713,iraq
6689,b
6656,york
6446,yesterday
6395,three
6361,president
6352,microsoft
6127,game
6119,million
6017,week
5856,time
5674,says
5465,corp
5463,united
5284,com
5247,sunday
5232,stocks
5200,prices
5185,could
5171,government
5140,would
5081,security
5056,years
5015,group
5004,n
4981,today
4966,people
4894,may
4892,afp
4882,second
4804,percent
4760,back
4748,software
4713,next
4624,season
4591,team
4551,win
4550,day
4459,third
4342,internet
4278,saturday
4248,night
4247,quarter
4226,china
4216,high
4142,state
4119,top
4040,market
4030,deal
3966,open
3958,sales
3937,bush
3936,news
3934,four
3931,minister
3818,fullquote
3815,billion
3815,record
3786,end
3767,business
3678,announced
3622,international
3606,washington
3583,former
3556,killed
3469,report
3452,profit
3441,court
3428,officials
3414,victory
3405,city
3369,service
3368,plans
3333,home
3319,month
3287,set
3243,states
3231,european
3192,chief
3169,american
3147,technology
3125,lead
3089,talks
3080,league
3079,computer
3077,search
3022,cup
2986,space
2968,five
2963,online
2946,country
2912,co
2902,british
2893,expected
2892,largest
2891,national
2881,take
2860,shares
2859,reported
2847,india
2836,red
2812,japan
2808,target
2795,federal
2794,bank
2780,google
2778,major
2777,final
2765,prime
2763,network
2740,least
2736,make
2731,ibm
2727,police
2693,election
2692,another
2691,hit
2682,iraqi
2677,south
2669,web
2669,research
2656,made
2646,according
2636,maker
2636,long
2636,bid
2631,music
2626,companies
2596,help
2585,leader
2576,get
2575,mobile
2573,big
2555,games
2540,san
2527,london
2520,series
2515,say
2507,plan
2500,still
2496,industry
2496,coach
2469,ticker
2447,baghdad
2439,way
2432,war
2398,run
2389,dollar
2388,http
2387,giant
2384,old
2355,based
2336,services
2333,since
2333,al
2319,growth
2312,data
2309,early
2297,www
2277,trade
2273,north
2266,nuclear
2266,wireless
2261,start
2254,cut
2254,sports
2252,higher
2244,system
2243,investor
2233,href
2226,phone
2209,australia
2208,six
2206,left
2204,buy
2203,gold
2193,military
2187,test
2183,union
2182,earnings
2147,move
2144,un
2142,john
2114,general
2114,stock
2093,loss
2083,like
2077,players
2072,palestinian
2069,official
2060,strong
2055,numth
2043,days
2041,apple
2036,sox
2032,months
2030,amp
2025,go
2015,air
2014,agreed
2013,half
1995,p
1989,oracle
1988,man
1987,attack
1978,israeli
1973,face
1965,ahead
1964,many
1961,windows
1941,troops
1939,global
1937,olympic
1937,england
1936,gaza
1934,uk
1933,intel
1928,price
1925,latest
1914,russia
1913,free
1913,biggest
1910,play
1909,quickinfo
1909,aspx
1901,executive
1896,round
1889,rose
1883,held
1880,firm
1879,west
1876,press
1871,even
1869,found
1866,near
1860,users
1860,pay
1857,including
1856,boston
1854,jobs
1852,russian
1848,drug
1842,ago
1838,head
1836,rise
1833,football
1833,update
1819,iran
1815,released
1812,reports
1794,despite
1784,part
1784,europe
1781,points
1781,economy
1780,athens
1779,much
